acousticness,danceability,duration_min,energy,instrumentalness,liveness,loudness,mode,tempo,valence,target,song_title,artist
0.0102,0.833,3.41,0.434,0.0219,0.165,-8.795,1,150.062,0.286,1,Mask Off,Future
0.199,0.743,5.449,0.359,0.00611,0.137,-10.401,1,160.083,0.588,1,Redbone,Childish Gambino
0.0344,0.838,3.095,0.412,0.000234,0.159,-7.148,1,75.044,0.173,1,Xanny Family,Future
0.604,0.494,3.324,0.338,0.51,0.0922,-15.236,1,86.468,0.23,1,Master Of None,Beach House
0.18,0.678,6.548,0.561,0.512,0.439,-11.648,0,174.004,0.904,1,Parallel Lines,Junior Boys
0.00479,0.804,4.189,0.56,0.0,0.164,-6.682,1,85.023,0.264,1,Sneakin’,Drake
0.0145,0.739,4.023,0.472,7.27e-06,0.207,-11.204,1,80.03,0.308,1,Childs Play,Drake
0.0202,0.266,5.828,0.348,0.664,0.16,-11.609,0,144.154,0.393,1,Gyöngyhajú lány,Omega
0.0481,0.603,3.381,0.944,0.0,0.342,-3.626,0,130.035,0.398,1,I've Seen Footage,Death Grips
0.00208,0.836,3.781,0.603,0.0,0.571,-7.792,1,99.994,0.386,1,Digital Animal,Honey Claws
0.0572,0.525,5.97,0.855,0.0143,0.649,-7.372,0,111.951,0.524,1,Subways - In Flagranti Extended Edit,The Avalanches
0.0915,0.753,5.415,0.748,0.00348,0.212,-8.62,1,104.322,0.642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü
0.253,0.603,5.95,0.434,0.0619,0.108,-11.062,1,127.681,0.381,1,Cemalim,Erkin Koray
0.366,0.762,4.054,0.476,0.0,0.103,-12.686,1,130.007,0.367,1,One Night,Lil Yachty
0.44,0.662,4.121,0.603,0.0,0.0972,-8.317,0,125.011,0.351,1,Oh lala,PNL
0.019,0.637,3.139,0.832,0.0563,0.316,-6.637,1,99.988,0.317,1,Char,Crystal Castles
0.0239,0.603,4.514,0.955,0.0451,0.119,-4.111,1,123.922,0.773,1,World In Motion,New Order
0.233,0.789,7.465,0.659,0.00049,0.184,-12.654,0,122.415,0.842,1,One Nation Under a Groove,Funkadelic
0.314,0.713,3.257,0.611,0.0,0.117,-6.702,0,140.061,0.783,1,Bouncin,Chief Keef
0.0242,0.735,3.572,0.759,0.185,0.0966,-6.914,0,109.982,0.763,1,C O O L - Radio Edit,Le Youth
0.000702,0.854,4.154,0.719,0.308,0.428,-9.335,0,128.049,0.471,1,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere
0.00024,0.747,5.128,0.74,0.369,0.0995,-4.134,1,130.031,0.77,1,House of Jealous Lovers,The Rapture
0.118,0.854,4.785,0.401,0.0,0.527,-8.553,1,139.922,0.441,1,Imma Ride,Young Thug
0.000596,0.224,2.213,0.925,1.35e-06,0.0663,-1.71,0,138.022,0.364,1,Girlfriend,Ty Segall
0.279,0.512,3.39,0.564,1.54e-05,0.133,-5.892,1,94.498,0.401,1,If I Gave You My Love,Myron & E
0.00219,0.781,3.419,0.795,0.269,0.0673,-6.758,1,109.977,0.795,1,This Ready Flesh,TR/ST
