valence,target,acousticness,danceability,energy,instrumentalness,loudness,tempo
0.286,1,0.0102,0.833,0.434,0.0219,-8.795,150.062
0.588,1,0.199,0.743,0.359,0.00611,-10.401,160.083
0.173,1,0.0344,0.838,0.412,0.000234,-7.148,75.044
0.23,1,0.604,0.494,0.338,0.51,-15.236,86.468
0.904,1,0.18,0.678,0.561,0.512,-11.648,174.004
0.264,1,0.00479,0.804,0.56,0.0,-6.682,85.023
0.308,1,0.0145,0.739,0.472,7.27e-06,-11.204,80.03
0.393,1,0.0202,0.266,0.348,0.664,-11.609,144.154
0.398,1,0.0481,0.603,0.944,0.0,-3.626,130.035
0.386,1,0.00208,0.836,0.603,0.0,-7.792,99.994
0.524,1,0.0572,0.525,0.855,0.0143,-7.372,111.951
0.642,1,0.0915,0.753,0.748,0.00348,-8.62,104.322
0.381,1,0.253,0.603,0.434,0.0619,-11.062,127.681
0.367,1,0.366,0.762,0.476,0.0,-12.686,130.007
0.351,1,0.44,0.662,0.603,0.0,-8.317,125.011
0.317,1,0.019,0.637,0.832,0.0563,-6.637,99.988
0.773,1,0.0239,0.603,0.955,0.0451,-4.111,123.922
0.842,1,0.233,0.789,0.659,0.00049,-12.654,122.415
0.783,1,0.314,0.713,0.611,0.0,-6.702,140.061
0.763,1,0.0242,0.735,0.759,0.185,-6.914,109.982
0.471,1,0.000702,0.854,0.719,0.308,-9.335,128.049
0.77,1,0.00024,0.747,0.74,0.369,-4.134,130.031
0.441,1,0.118,0.854,0.401,0.0,-8.553,139.922
0.364,1,0.000596,0.224,0.925,1.35e-06,-1.71,138.022
0.401,1,0.279,0.512,0.564,1.54e-05,-5.892,94.498
0.795,1,0.00219,0.781,0.795,0.269,-6.758,109.977
0.598,1,0.341,0.411,0.684,1.42e-06,-6.889,110.016
0.32,1,0.018,0.646,0.837,0.0403,-6.615,100.04
0.237,1,0.0516,0.782,0.572,0.0,-7.467,120.021
0.326,1,0.282,0.735,0.4,0.125,-12.766,129.004
0.137,1,0.00791,0.45,0.449,0.0,-12.037,135.45
0.27,1,0.0219,0.897,0.642,1.31e-06,-8.828,127.984
0.424,1,0.0358,0.959,0.598,0.0,-5.534,127.029
0.429,1,0.0324,0.742,0.559,0.0,-5.876,146.923
0.683,1,0.118,0.805,0.687,0.0,-7.771,119.999
0.372,1,0.0428,0.667,0.581,0.0,-5.164,110.953
0.855,1,0.297,0.722,0.823,0.0,-3.916,148.23
0.677,1,0.0565,0.853,0.547,0.0,-7.535,142.065
